Ensembl ID,Description,Gene Name,OMIM number,Curator's Note,PubMed IDs,Localisation,First order,Second order,In SCGSv1,Predicted in SCGSv1 paper,Predicted in CiliaCarta
ENSG00000125257,ATP binding cassette subfamily C member 4(ABCC4),ABCC4,,"Also known as leakytail. ATP- binding cassette transporter which transports prostaglandin E2 and other molecules across cellular membranes. Mutations in ABCC4 cause ciliogenesis defects. ABCC4-mediated PGE2 signalling acts through a ciliary G-protein-coupled receptor, EP4, to upregulate cAMP synthesis and increase anterograde IFT, thereby promoting ciliogenesis (PMID: 25173977). Zebrafish abcc4 mutants exhibited loss of connecting cilia and outer segment in photoreceptor cells, leading to mislocalization of opsins in the cell bodies of photoreceptors (PMID: 30685088). Specific missense associated with polydactyly in pigs (PMID: 32228435)",PMID: 25173977; PMID: 30685088; PMID: 32228435,Membrane,,x,,,x
ENSG00000099204,actin binding LIM protein 1(ABLIM1),ABLIM1,,"Involved in ciliation-related actin dynamics and LR patterning (PMID: 22684256). Asymmetrically expressed in both the node and left lateral plate mesoderm (LPM), similar to Nodal (PMID: 20487527)",PMID: 22684256; PMID: 20487527,actin cytoskeleton,,x,,,x
ENSG00000130234,angiotensin I converting enzyme 2(ACE2),ACE2,,"ACE2 receptor protein robustly localizes within the membrane of the motile cilia of airway epithelial cells, which likely represents the initial or early subcellular site of SARS-CoV-2 viral entry during host respiratory transmission",PMID: 33116139,Motile cilium membrane,x,,,,
ENSG00000138071,ARP2 actin related protein 2 homolog(ACTR2),ACTR2,,Also known as ARP2. Target of miR-129-3p which regulates actin dynamics to regulate ciliation in cells and in zebrafish (PMID: 22684256),PMID: 22684256,actin cytoskeleton,,x,,,x
ENSG00000151694,ADAM metallopeptidase domain 17(ADAM17),ADAM17,,"Also known as tumor necrosis factor (TNF)-α-converting enzyme (TACE). Metalloprotease, cleaves Notch receptor when glycosylated by GALNT11 to control formation of motile and non-motile cilia at the node. Heterotaxy gene (PMID: 24226769). Cleaves ACE2, found in respiratory cilia membrane (PMID: 15983030)",PMID: 24226769; PMID: 15983030,Cytoplasm,,x,,,
ENSG00000173157,ADAM metallopeptidase with thrombospondin type 1 motif 20(ADAMTS20),ADAMTS20,,Secreted metalloproteases ADAMTS9 and ADAMTS20 have a non-canonical role in ciliary vesicle growth during ciliogenesis (PMID: 30814516),PMID: 30814516,periciliary vesicles,x,,,,
ENSG00000163638,ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9),ADAMTS9,,Causes NPHP-related ciliopathy (PMID: 30609407). Has a non-canonical role in ciliary vesicle growth during ciliogenesis (PMID: 30814516),PMID: 30609407; PMID: 30814516,periciliary vesicles,x,,,,
ENSG00000173175,adenylate cyclase 5(ADCY5),ADCY5,600293,"AC5 and AC6 concentrate in the primary cilium, and mutation of a previously undescribed cilium-targeting motif in AC5 suppresses its ciliary location, as well as its capacity to inhibit Hh signalling. Mutated in familial dyskinesia",PMID: 26092933,Ciliary membrane,x,,,,x
ENSG00000174233,adenylate cyclase 6(ADCY6),ADCY6,600294,"AC5 and AC6 concentrate in the primary cilium, and mutation of a previously undescribed cilium-targeting motif in AC5 suppresses its ciliary location, as well as its capacity to inhibit Hh signalling. Mutated in lethal contracture syndrome",PMID: 26092933,Ciliary membrane,x,,,,x
ENSG00000164199,adhesion G protein-coupled receptor V1(ADGRV1),ADGRV1,,GPR98. USH2C OMIM 602851. Mutation causes Usher syndrome type IIC,PMID:15671307,"Connecting Cilium, Stereocilium",x,,x,,x
ENSG00000173467,"anterior gradient 3, protein disulphide isomerase family member(AGR3)",AGR3,,AGR3 expression is restricted to ciliated cells in the airway epithelium. Required for Regulation of Ciliary Beat Frequency in the Airway.,PMID: 25751668,ER,,x,,,x
