gene1	gene2	jaccard	n_loss_gene1	n_loss_gene2
SUMO4	SUMO3	1	13	13
SUMO2	NFATC2IP	1	13	13
SUMO3	NFATC2IP	1	13	13
CLIC5	CLIC1	1	38	38
CKB	CKMT1B	1	44	44
CKM	CKMT1B	1	44	44
SMARCD3	SMARCD2	1	16	16
SMARCD3	SMARCD1	1	16	16
SMARCD2	SMARCD1	1	16	16
SUMO4	SUMO1	1	13	13
SUMO4	SUMO2	1	13	13
SUMO2	SUMO3	1	13	13
NT5DC4	NT5DC1	1	31	31
SHH	IHH	1	56	56
SHH	DHH	1	56	56
IHH	DHH	1	56	56
UNC93A	MFSD11	1	31	31
SCP2	SCP2D1	1	23	23
VAPB	VAPA	1	15	15
CD36	SCARB1	1	24	24
NT5DC3	NT5C2	1	31	31
CLIC5	CLIC3	1	38	38
CLIC2	CLIC3	1	38	38
CLIC2	CLIC4	1	38	38
CLIC6	CLIC3	1	38	38
CLIC6	CLIC4	1	38	38
CLIC3	CLIC4	1	38	38
GLUD1	GLUD2	1	27	27
SCYL1	SCYL2	1	11	11
CLIC5	CLIC2	1	38	38
CLIC5	CLIC6	1	38	38
NT5DC3	NT5DC4	1	31	31
CLIC5	CLIC4	1	38	38
CLIC1	CLIC2	1	38	38
CLIC1	CLIC6	1	38	38
CLIC1	CLIC3	1	38	38
CLIC1	CLIC4	1	38	38
SUMO4	NFATC2IP	1	13	13
SUMO1	SUMO2	1	13	13
SUMO1	SUMO3	1	13	13
SUMO1	NFATC2IP	1	13	13
SLC39A14	zinc transporter ZIP14 isoform X2	1	32	32
LCLAT1	LPGAT1	1	15	15
LCLAT1	AGPAT5	1	15	15
SLC39A13	SLC39A8	1	32	32
SLC39A13	SLC39A12	1	32	32
SLC39A13	SLC39A4	1	32	32
SLC39A13	zinc transporter ZIP14 isoform X2	1	32	32
SLC39A14	SLC39A8	1	32	32
SLC39A14	SLC39A12	1	32	32
SLC39A14	SLC39A4	1	32	32
LCLAT1	AGPAT3	1	15	15
SLC39A6	zinc transporter ZIP14 isoform X2	1	32	32
SLC39A10	SLC39A13	1	32	32
SLC39A10	SLC39A14	1	32	32
SLC39A10	SLC39A8	1	32	32
SLC39A10	SLC39A12	1	32	32
SLC39A10	SLC39A4	1	32	32
SLC39A10	zinc transporter ZIP14 isoform X2	1	32	32
SLC39A13	SLC39A14	1	32	32
SLC39A7	SLC39A4	1	32	32
AGPAT3	AGPAT4	1	15	15
NT5DC3	NT5DC1	1	31	31
NT5DC2	NT5C2	1	31	31
NT5DC2	NT5DC4	1	31	31
NT5DC2	NT5DC1	1	31	31
NT5C2	NT5DC4	1	31	31
NT5C2	NT5DC1	1	31	31
LCLAT1	AGPAT4	1	15	15
AGPAT3	LPGAT1	1	15	15
AGPAT3	AGPAT5	1	15	15
CLIC2	CLIC6	1	38	38
LPGAT1	AGPAT5	1	15	15
LPGAT1	AGPAT4	1	15	15
AGPAT5	AGPAT4	1	15	15
NT5DC3	NT5DC2	1	31	31
SCYL1	SCYL3	1	11	11
SCYL2	SCYL3	1	11	11
TRMT2B	TRMT2A	1	11	11
TRMT2B	tRNA (uracil(54)-C(5))-methyltransferase homolog isoform X1	1	11	11
TRMT2A	tRNA (uracil(54)-C(5))-methyltransferase homolog isoform X1	1	11	11
GGA3	GGA2	1	24	24
POSTN	STAB2	1	50	50
DPP10	DPP6	1	24	24
DPP10	FAP	1	24	24
TOM1	GGA3	1	24	24
TOM1	TOM1L1	1	24	24
TOM1	STAM2	1	24	24
TOM1	GGA2	1	24	24
GGA3	TOM1L1	1	24	24
GGA3	STAM2	1	24	24
TGFBI	STAB2	1	50	50
TOM1L1	STAM2	1	24	24
GGA1	TOM1L1	1	24	24
GGA1	STAM2	1	24	24
GGA1	GGA2	1	24	24
TOM1L2	TOM1	1	24	24
TOM1L2	GGA3	1	24	24
TOM1L2	TOM1L1	1	24	24
TOM1L2	STAM2	1	24	24
TOM1L2	GGA2	1	24	24
serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform isoform X1	serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform X2	1	14	14
CORO1B	CORO2B	1	11	11
CORO1B	CORO1A	1	11	11
CORO1B	CORO7	1	11	11
CORO1B	CORO7-PAM16	1	11	11
CORO1B	CORO6	1	11	11
CORO1B	CORO2A	1	11	11
CORO1C	CORO2B	1	11	11
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X1	serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform X2	1	14	14
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X1	serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X2	1	14	14
CORO7	CORO2A	1	11	11
serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform isoform X1	serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X2	1	14	14
serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform X2	serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform X2	1	14	14
SFT2D3	SFT2D1	1	14	14
SFT2D3	SFT2D2	1	14	14
SFT2D1	SFT2D2	1	14	14
TOM1L1	GGA2	1	24	24
STAM2	GGA2	1	24	24
G6PD	H6PD	1	14	14
TGFBI	POSTN	1	50	50
PLSCR5	PLSCR4	1	27	27
PLSCR2	PLSCR3	1	27	27
PLSCR2	PLSCR1	1	27	27
PLSCR3	PLSCR1	1	27	27
FAP	DPP4	1	24	24
FAP	DPP9	1	24	24
DPP8	DPP4	1	24	24
DPP8	DPP9	1	24	24
DPP4	DPP9	1	24	24
SMS	SRM	1	15	15
PLSCR4	PLSCR1	1	27	27
PLSCR5	PLSCR2	1	27	27
DPP10	DPP8	1	24	24
DPP10	DPP4	1	24	24
DPP10	DPP9	1	24	24
DPP6	FAP	1	24	24
DPP6	DPP8	1	24	24
DPP6	DPP4	1	24	24
DPP6	DPP9	1	24	24
FAP	DPP8	1	24	24
CKMT1A	CKM	1	44	44
CORO7-PAM16	CORO6	1	11	11
CORO7-PAM16	CORO2A	1	11	11
CORO6	CORO2A	1	11	11
CDC27	CDC23	1	14	14
GGA1	TOM1L2	1	24	24
GGA1	TOM1	1	24	24
GGA1	GGA3	1	24	24
CKMT1A	CKMT2	1	44	44
CKMT1A	CKB	1	44	44
SLC39A7	zinc transporter ZIP14 isoform X2	1	32	32
CKMT1A	CKMT1B	1	44	44
CKMT2	CKB	1	44	44
CKMT2	CKM	1	44	44
CKMT2	CKMT1B	1	44	44
CKB	CKM	1	44	44
PLSCR5	PLSCR3	1	27	27
PLSCR5	PLSCR1	1	27	27
PLSCR4	PLSCR2	1	27	27
PLSCR4	PLSCR3	1	27	27
AMPD1	AMPD2	1	12	12
CHKA	ETNK2	1	13	13
CHKA	CHKB	1	13	13
PANK2	PANK3	1	10	10
PANK2	PANK1	1	10	10
PANK4	PANK3	1	10	10
PANK4	PANK1	1	10	10
PANK3	PANK1	1	10	10
CWF19L1	CWF19L2	1	17	17
AMPD1	AMPD3	1	12	12
ETNK1	CHKB	1	13	13
ATG4A	ATG4C	1	11	11
ATG4B	ATG4C	1	11	11
MSRB3	MSRB2	1	16	16
MSRB3	MSRB1	1	16	16
MSRB2	MSRB1	1	16	16
URGCP	URGCP-MRPS24	1	30	30
EFHC1	EFHC2	1	24	24
PCMT1	PCMTD1	1	18	18
HIRA	CHAF1B	1	11	11
MAP1LC3C	GABARAPL2	1	15	15
MAP1LC3B2	GABARAPL1	1	15	15
MAP1LC3B2	MAP1LC3A	1	15	15
GABARAP	GABARAPL2	1	15	15
GABARAP	MAP1LC3B	1	15	15
GABARAP	GABARAPL1	1	15	15
GABARAP	MAP1LC3A	1	15	15
ETNK2	CHKB	1	13	13
MAP1LC3C	MAP1LC3B2	1	15	15
MAP1LC3C	GABARAP	1	15	15
CSTF3	PRPF39	1	13	13
MAP1LC3C	MAP1LC3B	1	15	15
MAP1LC3C	GABARAPL1	1	15	15
MAP1LC3C	MAP1LC3A	1	15	15
MAP1LC3B2	GABARAP	1	15	15
AMPD3	AMPD2	1	12	12
ACSBG1	ACSBG2	1	27	27
PICALM	SNAP91	1	16	16
ETNK1	CHKA	1	13	13
ETNK1	ETNK2	1	13	13
RTL8B	RTL6	1	27	27
PIEZO1	PIEZO2	1	30	30
RTL8A	RTL8B	1	27	27
RTL8A	LDOC1	1	27	27
RTL8A	RTL6	1	27	27
RTL8C	RTL8A	1	27	27
RTL8C	RTL8B	1	27	27
RTL8C	LDOC1	1	27	27
RTL8C	RTL6	1	27	27
RTL8B	LDOC1	1	27	27
FDX2	FDX1	1	11	11
LDOC1	RTL6	1	27	27
NGB	CYGB	1	55	55
PDSS1	PDSS2	1	29	29
XPO7	RANBP17	1	15	15
DOCK1	DOCK2	1	22	22
DOCK1	DOCK3	1	22	22
DOCK1	DOCK4	1	22	22
DOCK1	DOCK5	1	22	22
DOCK2	DOCK3	1	22	22
LHPP	PDXP	1	10	10
GTPBP3	ERAS	1	22	22
ATG4D	ATG4A	1	11	11
ATG4D	ATG4B	1	11	11
ATG4D	ATG4C	1	11	11
ATG4A	ATG4B	1	11	11
PGP	LHPP	1	10	10
PGP	HDHD2	1	10	10
PGP	PDXP	1	10	10
LHPP	HDHD2	1	10	10
MAP1LC3B2	MAP1LC3B	1	15	15
HDHD2	PDXP	1	10	10
PCMTD2	PCMT1	1	18	18
PCMTD2	PCMTD1	1	18	18
GABARAPL2	MAP1LC3B	1	15	15
GABARAPL2	GABARAPL1	1	15	15
GABARAPL2	MAP1LC3A	1	15	15
MAP1LC3B	GABARAPL1	1	15	15
MAP1LC3B	MAP1LC3A	1	15	15
GABARAPL1	MAP1LC3A	1	15	15
GIMAP2	GIMAP5	1	67	67
GIMAP4	GIMAP8	1	67	67
GIMAP5	GIMAP1	1	67	67
GIMAP6	GIMAP2	1	67	67
GIMAP6	GIMAP4	1	67	67
GIMAP6	GIMAP5	1	67	67
GIMAP6	GIMAP1	1	67	67
GIMAP6	GIMAP7	1	67	67
GIMAP6	GIMAP8	1	67	67
GIMAP2	GIMAP4	1	67	67
GIMAP4	GIMAP7	1	67	67
RAB32	RAB38	1	23	23
GIMAP1-GIMAP5	GIMAP6	1	67	67
GIMAP1-GIMAP5	GIMAP2	1	67	67
GIMAP1-GIMAP5	GIMAP4	1	67	67
GIMAP1-GIMAP5	GIMAP5	1	67	67
GIMAP1-GIMAP5	GIMAP1	1	67	67
GIMAP1-GIMAP5	GIMAP7	1	67	67
GIMAP1-GIMAP5	GIMAP8	1	67	67
SLC39A8	SLC39A12	1	32	32
SLC39A7	SLC39A10	1	32	32
SLC39A6	SLC39A10	1	32	32
SLC39A6	SLC39A13	1	32	32
SLC39A6	SLC39A14	1	32	32
SLC39A6	SLC39A8	1	32	32
SLC39A6	SLC39A12	1	32	32
SLC39A6	SLC39A4	1	32	32
CD36	SCARB2	1	24	24
SCARB1	SCARB2	1	24	24
SLC39A7	SLC39A6	1	32	32
SLC39A8	SLC39A4	1	32	32
SLC39A7	SLC39A13	1	32	32
SLC39A7	SLC39A14	1	32	32
SLC39A7	SLC39A8	1	32	32
SLC39A7	SLC39A12	1	32	32
GIMAP2	GIMAP1	1	67	67
GIMAP2	GIMAP7	1	67	67
GIMAP2	GIMAP8	1	67	67
GIMAP4	GIMAP5	1	67	67
GIMAP4	GIMAP1	1	67	67
MKS1	B9D1	1	31	31
GLB1L3	GLB1L2	1	48	48
GLB1L	GLB1L2	1	48	48
SLC13A3	SLC13A1	1	28	28
SLC13A5	SLC13A2	1	28	28
SLC13A5	SLC13A4	1	28	28
SLC13A5	SLC13A1	1	28	28
SLC13A2	SLC13A4	1	28	28
SLC13A2	SLC13A1	1	28	28
SLC13A4	SLC13A1	1	28	28
GLB1L3	GLB1L	1	48	48
GIMAP5	GIMAP7	1	67	67
GIMAP5	GIMAP8	1	67	67
GIMAP1	GIMAP7	1	67	67
GIMAP1	GIMAP8	1	67	67
GIMAP7	GIMAP8	1	67	67
SLC13A3	SLC13A5	1	28	28
SLC13A3	SLC13A2	1	28	28
SLC13A3	SLC13A4	1	28	28
MAP1LC3B2	GABARAPL2	1	15	15
GK	GK2	1	10	10
SLC39A8	zinc transporter ZIP14 isoform X2	1	32	32
SLC39A12	SLC39A4	1	32	32
SLC39A12	zinc transporter ZIP14 isoform X2	1	32	32
SLC39A4	zinc transporter ZIP14 isoform X2	1	32	32
RAB29	RAB32	1	23	23
RAB29	RAB38	1	23	23
MDH1B	MDH1	1	16	16
CBR3	CBR1	1	38	38
GK	GK5	1	10	10
CORO1B	CORO1C	1	11	11
GK5	GK2	1	10	10
ADA	MAPDA	1	21	21
TOPBP1	SLF1	1	21	21
PANK2	PANK4	1	10	10
MKS1	B9D2	1	31	31
B9D1	B9D2	1	31	31
GLB1	GLB1L3	1	48	48
GLB1	GLB1L	1	48	48
GLB1	GLB1L2	1	48	48
TBC1D15	TBC1D25	1	14	14
PTGR2	PTGR3	1	38	38
FADS2	FADS1	1	23	23
FADS2	FADS3	1	23	23
FADS1	FADS3	1	23	23
SGSM2	TBC1D15	1	14	14
SGSM2	TBC1D17	1	14	14
SGSM2	TBC1D16	1	14	14
SGSM2	TBC1D25	1	14	14
TBC1D15	TBC1D17	1	14	14
TBC1D15	TBC1D16	1	14	14
PTGR1	PTGR3	1	38	38
TBC1D17	TBC1D16	1	14	14
CHRNA2	CHRNA3	1	50	50
CHRNA2	CHRNA4	1	50	50
CHRNA2	CHRNA5	1	50	50
CHRNA2	CHRNA7	1	50	50
CHRNA2	CHRNB1	1	50	50
CHRNA2	CHRNB2	1	50	50
CHRNA2	CHRNB3	1	50	50
CHRNA2	CHRNB4	1	50	50
PPP2R3A	PPP2R3B	1	13	13
GMPR2	GMPR	1	12	12
CHRNA1	CHRNE	1	50	50
CHRNA1	CHRNA2	1	50	50
CHRNA1	CHRNA3	1	50	50
CHRNA1	CHRNA4	1	50	50
CHRNA1	CHRNA5	1	50	50
CHRNA1	CHRNA7	1	50	50
CHRNA1	CHRNB1	1	50	50
PPP2R3A	PPP2R3C	1	13	13
CHRNE	CHRNB3	1	50	50
PPP2R3C	PPP2R3B	1	13	13
IMPDH1	IMPDH2	1	12	12
IMPDH1	GMPR2	1	12	12
IMPDH1	GMPR	1	12	12
IMPDH2	GMPR2	1	12	12
IMPDH2	GMPR	1	12	12
TBC1D17	TBC1D25	1	14	14
TBC1D16	TBC1D25	1	14	14
PTGR1	PTGR2	1	38	38
CHRNA4	CHRFAM7A	1	50	50
CHRNA1	CHRNA10	1	50	50
CHRNA1	CHRNG	1	50	50
CHRNA1	CHRNA9	1	50	50
CHRNA4	CHRNB4	1	50	50
CHRNA4	HTR3A	1	50	50
CHRNA4	CHRNA6	1	50	50
CHRNA4	CHRNA10	1	50	50
CHRNA4	CHRNG	1	50	50
CHRNA4	CHRNA9	1	50	50
CHRNA1	CHRNA6	1	50	50
CHRNA5	CHRNA7	1	50	50
CHRNA3	CHRNG	1	50	50
CHRNA3	CHRNA9	1	50	50
CHRNA3	CHRFAM7A	1	50	50
CHRNA4	CHRNA5	1	50	50
CHRNA4	CHRNA7	1	50	50
CHRNA4	CHRNB1	1	50	50
CHRNA4	CHRNB2	1	50	50
CHRNA4	CHRNB3	1	50	50
CHRNE	CHRNA3	1	50	50
CHRNE	CHRNB4	1	50	50
CHRNE	HTR3A	1	50	50
CHRNE	CHRNA6	1	50	50
CHRNE	CHRNA10	1	50	50
CHRNE	CHRNG	1	50	50
CHRNE	CHRNA9	1	50	50
CHRNE	CHRFAM7A	1	50	50
CHRNA1	CHRFAM7A	1	50	50
CHRNE	CHRNA2	1	50	50
E2F8	E2F2	1	20	20
CHRNE	CHRNA4	1	50	50
CHRNE	CHRNA5	1	50	50
CHRNE	CHRNA7	1	50	50
CHRNE	CHRNB1	1	50	50
CHRNE	CHRNB2	1	50	50
CHRNA1	CHRNB2	1	50	50
CHRNA1	CHRNB3	1	50	50
CHRNA1	CHRNB4	1	50	50
CHRNA1	HTR3A	1	50	50
E2F5	E2F2	1	20	20
ARRDC2	ARRDC3	1	48	48
GDPD5	GDPD4	1	26	26
GDPD3	GDPD4	1	26	26
CHI3L2	CHIA	1	47	47
CHI3L2	CHIT1	1	47	47
CHI3L2	CHI3L1	1	47	47
CHI3L2	OVGP1	1	47	47
CHIA	CHIT1	1	47	47
CHIA	CHI3L1	1	47	47
ARRDC2	ARRDC1	1	48	48
E2F5	E2F1	1	20	20
E2F5	E2F7	1	20	20
E2F3	E2F8	1	20	20
E2F3	E2F6	1	20	20
E2F3	E2F4	1	20	20
tripartite motif-containing protein 54-like isoform X1	E3 ubiquitin-protein ligase TRIM22-like isoform X2	1	24	24
TMBIM4	TMBIM1	1	26	26
TMBIM4	FAIM2	1	26	26
TMBIM1	FAIM2	1	26	26
ARRDC1	ARRDC3	1	48	48
PRPF40B	PRPF40A	1	14	14
PRPF40B	TCERG1L	1	14	14
TCERG1	PRPF40A	1	14	14
TCERG1	TCERG1L	1	14	14
PRPF40A	TCERG1L	1	14	14
ARRDC2	ARRDC4	1	48	48
TXNIP	ARRDC1	1	48	48
TXNIP	ARRDC3	1	48	48
TXNIP	ARRDC4	1	48	48
METAP1D	METAP1	1	10	10
ARRDC1	ARRDC4	1	48	48
ARRDC3	ARRDC4	1	48	48
HAS3	HAS1	1	47	47
CHIA	OVGP1	1	47	47
CHIT1	CHI3L1	1	47	47
CHIT1	OVGP1	1	47	47
CHI3L1	OVGP1	1	47	47
PPP4R1	PPP4R4	1	12	12
ARRDC2	TXNIP	1	48	48
E2F6	E2F2	1	20	20
E2F2	E2F7	1	20	20
E2F1	E2F7	1	20	20
AMACR	SUGCT	1	32	32
SLC18A1	SLC18A2	1	38	38
SLC18A1	SLC18A3	1	38	38
SLC18A1	SLC18B1	1	38	38
E2F8	E2F1	1	20	20
E2F8	E2F7	1	20	20
E2F6	E2F4	1	20	20
E2F2	E2F1	1	20	20
E2F6	E2F1	1	20	20
E2F6	E2F7	1	20	20
E2F4	E2F2	1	20	20
E2F4	E2F1	1	20	20
E2F3	E2F2	1	20	20
E2F3	E2F1	1	20	20
E2F3	E2F7	1	20	20
E2F8	E2F6	1	20	20
E2F8	E2F4	1	20	20
GRINA	FAIM2	1	26	26
E2F5	E2F3	1	20	20
E2F5	E2F8	1	20	20
E2F5	E2F6	1	20	20
E2F5	E2F4	1	20	20
LACTB	LACTBL1	1	52	52
DBN1	COTL1	1	30	30
CFAP58	CCDC146	1	24	24
GRINA	TMBIM4	1	26	26
GRINA	TMBIM1	1	26	26
CHRNA3	CHRNA7	1	50	50
SLC18A2	SLC18A3	1	38	38
SLC18A2	SLC18B1	1	38	38
SLC18A3	SLC18B1	1	38	38
SGSM1	SGSM2	1	14	14
SGSM1	TBC1D15	1	14	14
SGSM1	TBC1D17	1	14	14
SGSM1	TBC1D16	1	14	14
SGSM1	TBC1D25	1	14	14
E2F4	E2F7	1	20	20
PLG	F2	1	41	41
PLG	MST1	1	41	41
F2	HGF	1	41	41
F2	KREMEN1	1	41	41
